"","stname","state","stusps"
"1","Alabama","01","AL"
"2","Alaska","02","AK"
"3","Arizona","04","AZ"
"4","Arkansas","05","AR"
"5","California","06","CA"
"6","Colorado","08","CO"
"7","Connecticut","09","CT"
"8","Delaware","10","DE"
"9","District of Columbia","11","DC"
"10","Florida","12","FL"
"11","Georgia","13","GA"
"12","Hawaii","15","HI"
"13","Idaho","16","ID"
"14","Illinois","17","IL"
"15","Indiana","18","IN"
"16","Iowa","19","IA"
"17","Kansas","20","KS"
"18","Kentucky","21","KY"
"19","Louisiana","22","LA"
"20","Maine","23","ME"
"21","Maryland","24","MD"
"22","Massachusetts","25","MA"
"23","Michigan","26","MI"
"24","Minnesota","27","MN"
"25","Mississippi","28","MS"
"26","Missouri","29","MO"
"27","Montana","30","MT"
"28","Nebraska","31","NE"
"29","Nevada","32","NV"
"30","New Hampshire","33","NH"
"31","New Jersey","34","NJ"
"32","New Mexico","35","NM"
"33","New York","36","NY"
"34","North Carolina","37","NC"
"35","North Dakota","38","ND"
"36","Ohio","39","OH"
"37","Oklahoma","40","OK"
"38","Oregon","41","OR"
"39","Pennsylvania","42","PA"
"40","Rhode Island","44","RI"
"41","South Carolina","45","SC"
"42","South Dakota","46","SD"
"43","Tennessee","47","TN"
"44","Texas","48","TX"
"45","Utah","49","UT"
"46","Vermont","50","VT"
"47","Virginia","51","VA"
"48","Washington","53","WA"
"49","West Virginia","54","WV"
"50","Wisconsin","55","WI"
"51","Wyoming","56","WY"
